epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5773,0.50418,2.15582,3.08696,1.04117,0.00338,1,0.39373,0.34512,0.00338,1,0.39373,0.36903,0.35183,0.66377,3.66342,0.99057,0.000125,0.000125,0.000125
2,106.993,0.4853,0.65338,2.38933,0.99695,0.00347,1,0.47222,0.43203,0.00347,1,0.47222,0.45612,0.37383,0.47845,3.28904,0.9714,0.000262472,0.000262472,0.000262472
3,169.6,0.49809,0.54275,1.98493,0.99046,0.91161,0.62393,0.7622,0.69951,0.91161,0.62393,0.7622,0.72253,0.43601,0.806,2.65528,1.04075,0.000399826,0.000399826,0.000399826
4,234.105,0.49588,0.52364,1.59543,0.99928,0.74332,0.64108,0.80031,0.71358,0.74332,0.64108,0.80031,0.76025,0.47983,0.48324,2.4072,1.07855,0.000536975,0.000536975,0.000536975
5,298.608,0.49978,0.42146,1.42345,1.00556,0.7942,0.69736,0.86565,0.76343,0.7942,0.69736,0.86565,0.81211,0.52806,0.45881,2.24807,1.18474,0.000673828,0.000673828,0.000673828
6,364.307,0.52589,0.41846,1.35324,0.99478,0.78255,0.9353,0.96448,0.80888,0.78255,0.9353,0.96448,0.86697,0.581,0.48987,2.1959,1.31112,0.000810297,0.000810297,0.000810297
7,430.563,0.48312,0.42321,1.2677,0.98405,0.85086,0.77968,0.91745,0.82346,0.85086,0.77968,0.91745,0.87795,0.51199,0.43713,1.91562,1.12774,0.000946292,0.000946292,0.000946292
8,496.711,0.49421,0.42099,1.21862,0.99693,0.88707,0.77996,0.94214,0.86069,0.88707,0.77996,0.94214,0.89685,0.46029,0.28949,1.62447,1.08919,0.00108173,0.00108173,0.00108173
9,563.205,0.48083,0.43015,1.11488,0.97106,0.78173,0.84647,0.93088,0.80684,0.78173,0.84647,0.93088,0.86207,0.45153,0.27786,2.21836,1.06229,0.00121651,0.00121651,0.00121651
10,629.778,0.51619,0.37933,1.15869,0.99709,0.94953,0.97359,0.9873,0.84477,0.94953,0.97359,0.9873,0.90373,0.51636,0.33738,1.44585,1.17503,0.00123904,0.00123904,0.00123904
11,696.244,0.50985,0.40218,1.09868,0.98172,0.86117,0.8921,0.97606,0.81679,0.86117,0.8921,0.97606,0.86383,0.57319,0.2788,1.61586,1.242,0.00123648,0.00123648,0.00123648
12,763.093,0.46712,0.35152,1.00007,0.96536,0.95131,0.92725,0.98546,0.87642,0.95131,0.92725,0.98546,0.94012,0.47275,0.26802,1.3749,1.11519,0.00123365,0.00123365,0.00123365
13,830.159,0.46222,0.36241,0.99382,0.96316,0.92159,0.84441,0.9549,0.87248,0.92159,0.84441,0.9549,0.92573,0.42394,0.26608,1.31629,1.03805,0.00123056,0.00123056,0.00123056
14,896.124,0.42724,0.3377,0.90524,0.95599,0.96521,0.96623,0.98833,0.86982,0.96521,0.96623,0.98833,0.91854,0.55466,0.2648,1.3244,1.19857,0.00122721,0.00122721,0.00122721
15,962.095,0.45078,0.34923,0.8709,0.96348,0.9279,0.96059,0.99431,0.91554,0.9279,0.96059,0.99431,0.96797,0.42914,0.26836,1.14671,1.06299,0.00122359,0.00122359,0.00122359
16,1028.51,0.45019,0.35038,0.90695,0.96947,0.93814,1,0.99083,0.88791,0.93814,1,0.99083,0.91637,0.46992,0.26318,1.18918,1.07496,0.00121972,0.00121972,0.00121972
17,1095.32,0.42217,0.30869,0.84414,0.95796,0.95074,0.98717,0.99203,0.90934,0.95074,0.98717,0.99203,0.93158,0.41975,0.27048,1.06528,1.04484,0.00121558,0.00121558,0.00121558
18,1161.74,0.4165,0.35215,0.83069,0.95333,0.84956,0.81447,0.92737,0.81898,0.84956,0.81447,0.92737,0.86811,0.46437,0.24538,1.60501,1.05998,0.00121119,0.00121119,0.00121119
19,1227.89,0.42632,0.33379,0.83823,0.95488,0.94991,1,0.995,0.9011,0.94991,1,0.995,0.9383,0.45571,0.21854,1.12511,1.05912,0.00120655,0.00120655,0.00120655
20,1294.27,0.43842,0.34148,0.80645,0.96294,0.92129,0.8317,0.95485,0.89848,0.92129,0.8317,0.95485,0.94442,0.40445,0.2436,1.24386,1.01004,0.00120165,0.00120165,0.00120165
21,1359.36,0.39875,0.34888,0.76004,0.92423,0.91883,0.83627,0.99192,0.91358,0.91883,0.83627,0.99192,0.9678,0.42319,0.34173,1.13494,1.00948,0.00119651,0.00119651,0.00119651
22,1424.92,0.43359,0.28276,0.75316,0.96706,0.95967,0.97536,0.995,0.93214,0.95967,0.97536,0.995,0.95618,0.4005,0.34707,0.93429,1.01119,0.00119111,0.00119111,0.00119111
23,1490.23,0.43505,0.35173,0.76135,0.96312,0.9511,0.95836,0.99145,0.9225,0.9511,0.95836,0.99145,0.9763,0.40853,0.22684,0.91857,0.99866,0.00118547,0.00118547,0.00118547
24,1555.76,0.3946,0.31094,0.70643,0.9397,0.96137,0.98279,0.995,0.93361,0.96137,0.98279,0.995,0.96847,0.38501,0.22377,0.79386,0.99471,0.00117959,0.00117959,0.00117959
25,1622.46,0.4012,0.34043,0.68526,0.94318,0.97747,0.97917,0.99346,0.92876,0.97747,0.97917,0.99346,0.96447,0.39586,0.21937,0.77083,1.0084,0.00117346,0.00117346,0.00117346
26,1689.44,0.40971,0.34858,0.70024,0.95378,0.96949,0.97831,0.99262,0.92931,0.96949,0.97831,0.99262,0.95907,0.38493,0.21922,0.72594,1.00134,0.0011671,0.0011671,0.0011671
27,1756.5,0.37909,0.30379,0.66437,0.92955,0.96201,0.99509,0.995,0.95304,0.96201,0.99509,0.995,0.98004,0.34858,0.22171,0.74997,0.96051,0.00116051,0.00116051,0.00116051
28,1823.23,0.39041,0.36108,0.62262,0.921,0.94371,0.96645,0.995,0.93983,0.94371,0.96645,0.995,0.97747,0.38074,0.22731,0.74669,1.00801,0.00115368,0.00115368,0.00115368
29,1890.9,0.37287,0.34174,0.61454,0.93944,0.99151,0.98795,0.995,0.92288,0.99151,0.98795,0.995,0.95365,0.40262,0.23093,0.72906,1.03831,0.00114662,0.00114662,0.00114662
30,1960.18,0.39222,0.34804,0.64345,0.95089,0.96333,0.95542,0.995,0.93442,0.96333,0.95542,0.995,0.96682,0.36359,0.2154,0.72161,0.9983,0.00113934,0.00113934,0.00113934
31,2028.99,0.35884,0.30739,0.57433,0.91294,0.98532,0.99723,0.995,0.93752,0.98532,0.99723,0.995,0.96584,0.34359,0.22281,0.64529,0.95536,0.00113183,0.00113183,0.00113183
32,2095.73,0.384,0.31314,0.60674,0.94829,0.98754,0.97586,0.995,0.93423,0.98754,0.97586,0.995,0.96896,0.34631,0.217,0.67726,0.95891,0.0011241,0.0011241,0.0011241
33,2160.01,0.37764,0.28677,0.59987,0.93849,0.9818,0.96924,0.995,0.9624,0.9818,0.96924,0.995,0.97524,0.33053,0.20424,0.65885,0.94875,0.00111616,0.00111616,0.00111616
34,2224.67,0.3729,0.29642,0.55411,0.91801,0.98055,0.97417,0.995,0.94646,0.98055,0.97417,0.995,0.9764,0.3619,0.21053,0.60402,0.95892,0.00110801,0.00110801,0.00110801
35,2289.22,0.35555,0.29061,0.58469,0.9151,0.915,0.99162,0.98235,0.86262,0.915,0.99162,0.98235,0.89802,0.37584,0.22158,0.76222,0.95597,0.00109964,0.00109964,0.00109964
36,2353.63,0.36686,0.34316,0.56821,0.93626,0.98196,0.97727,0.995,0.91727,0.98196,0.97727,0.995,0.95245,0.4156,0.25235,0.65696,1.0218,0.00109107,0.00109107,0.00109107
37,2418.04,0.36633,0.33687,0.55374,0.91437,0.98436,0.97108,0.99214,0.90912,0.98436,0.97108,0.99214,0.92801,0.4492,0.23049,0.70464,1.05678,0.0010823,0.0010823,0.0010823
38,2482.36,0.36285,0.28399,0.5611,0.91938,0.95779,0.97627,0.995,0.94057,0.95779,0.97627,0.995,0.96731,0.34697,0.20805,0.59149,0.95747,0.00107333,0.00107333,0.00107333
39,2546.63,0.3536,0.27979,0.53415,0.92674,0.96538,0.95451,0.995,0.9621,0.96538,0.95451,0.995,0.98235,0.32216,0.20517,0.61787,0.94922,0.00106417,0.00106417,0.00106417
40,2611.86,0.37212,0.30075,0.5404,0.91392,0.96158,1,0.995,0.94509,0.96158,1,0.995,0.97647,0.34745,0.19892,0.55411,0.96164,0.00105481,0.00105481,0.00105481
41,2677,0.36984,0.30616,0.5234,0.91885,0.97496,1,0.995,0.95476,0.97496,1,0.995,0.97439,0.33058,0.19172,0.51373,0.94558,0.00104527,0.00104527,0.00104527
42,2741.46,0.35224,0.34809,0.51832,0.92486,0.9787,0.99156,0.995,0.92666,0.9787,0.99156,0.995,0.95893,0.36235,0.19964,0.52753,1.01934,0.00103555,0.00103555,0.00103555
43,2806.07,0.34466,0.29366,0.51671,0.91446,0.98794,1,0.995,0.95464,0.98794,1,0.995,0.97192,0.31209,0.19283,0.47162,0.9466,0.00102566,0.00102566,0.00102566
44,2870.69,0.33352,0.26406,0.47882,0.90562,0.95813,0.99667,0.995,0.95252,0.95813,0.99667,0.995,0.98914,0.29454,0.19678,0.49089,0.90777,0.00101559,0.00101559,0.00101559
45,2935.49,0.3211,0.25656,0.47212,0.90558,0.97744,0.9966,0.995,0.96887,0.97744,0.9966,0.995,0.98676,0.28027,0.20829,0.43336,0.90602,0.00100535,0.00100535,0.00100535
46,3000.47,0.33473,0.29307,0.48022,0.91255,0.98585,1,0.995,0.97101,0.98585,1,0.995,0.98445,0.28161,0.1959,0.41561,0.91394,0.000994942,0.000994942,0.000994942
47,3064.44,0.36602,0.28044,0.49635,0.92284,0.99162,1,0.995,0.96376,0.99162,1,0.995,0.98603,0.29413,0.18781,0.43912,0.91377,0.000984379,0.000984379,0.000984379
48,3128.75,0.33533,0.27021,0.45901,0.92083,0.99096,1,0.995,0.97169,0.99096,1,0.995,0.995,0.30538,0.19654,0.42598,0.91638,0.000973661,0.000973661,0.000973661
49,3193.02,0.33436,0.27477,0.4683,0.91321,0.99509,1,0.995,0.97272,0.99509,1,0.995,0.995,0.28836,0.19731,0.40817,0.91309,0.000962793,0.000962793,0.000962793
50,3258.43,0.2989,0.25538,0.42499,0.89993,0.97848,0.99984,0.995,0.96989,0.97848,0.99984,0.995,0.995,0.29123,0.19887,0.41169,0.91296,0.000951779,0.000951779,0.000951779
51,3322.99,0.31927,0.28154,0.4493,0.89442,0.95897,0.98202,0.995,0.96446,0.95897,0.98202,0.995,0.98891,0.29716,0.19435,0.44911,0.93136,0.000940625,0.000940625,0.000940625
52,3387.87,0.33255,0.30423,0.43835,0.90727,0.97179,1,0.995,0.96265,0.97179,1,0.995,0.995,0.29586,0.19102,0.40172,0.90592,0.000929335,0.000929335,0.000929335
53,3452.69,0.31881,0.29489,0.44095,0.90725,0.97079,1,0.99346,0.97042,0.97079,1,0.99346,0.99346,0.28642,0.19697,0.40364,0.91496,0.000917914,0.000917914,0.000917914
54,3517.35,0.31562,0.27293,0.42208,0.91205,0.97784,0.99654,0.995,0.96731,0.97784,0.99654,0.995,0.98896,0.28247,0.20888,0.4113,0.91134,0.000906368,0.000906368,0.000906368
55,3585.2,0.33737,0.2874,0.43435,0.9083,0.96578,0.96557,0.995,0.97773,0.96578,0.96557,0.995,0.98951,0.27928,0.19997,0.4536,0.90429,0.000894701,0.000894701,0.000894701
56,3650.99,0.29309,0.26404,0.41947,0.90164,0.98903,0.96044,0.995,0.95902,0.98903,0.96044,0.995,0.98261,0.29839,0.19644,0.48348,0.91481,0.000882918,0.000882918,0.000882918
57,3715.28,0.35351,0.27954,0.46792,0.93235,0.98167,0.9949,0.995,0.96831,0.98167,0.9949,0.995,0.99065,0.28669,0.1989,0.42557,0.91116,0.000871025,0.000871025,0.000871025
58,3779.61,0.33829,0.29753,0.46972,0.91075,0.99465,1,0.995,0.96597,0.99465,1,0.995,0.98862,0.28455,0.18228,0.37153,0.91345,0.000859027,0.000859027,0.000859027
59,3844.02,0.30098,0.25419,0.44327,0.8997,0.98579,1,0.995,0.95968,0.98579,1,0.995,0.98622,0.29325,0.19149,0.35409,0.91523,0.000846929,0.000846929,0.000846929
60,3908.45,0.30746,0.28653,0.42013,0.91467,0.96275,0.97934,0.995,0.96159,0.96275,0.97934,0.995,0.97967,0.29449,0.20133,0.38925,0.93079,0.000834736,0.000834736,0.000834736
61,3975.56,0.32324,0.3086,0.42162,0.90956,0.99295,0.98499,0.995,0.958,0.99295,0.98499,0.995,0.9859,0.28681,0.20598,0.3698,0.91393,0.000822454,0.000822454,0.000822454
62,4039.23,0.30971,0.2755,0.40171,0.90937,0.97059,0.99819,0.995,0.9593,0.97059,0.99819,0.995,0.98534,0.30691,0.20319,0.39369,0.91285,0.000810088,0.000810088,0.000810088
63,4102.5,0.32251,0.29698,0.41194,0.89901,0.97376,1,0.995,0.96282,0.97376,1,0.995,0.98707,0.28402,0.19608,0.383,0.90784,0.000797644,0.000797644,0.000797644
64,4167.08,0.3059,0.27022,0.36865,0.89745,0.99221,1,0.995,0.98193,0.99221,1,0.995,0.99239,0.27896,0.19989,0.35064,0.89797,0.000785127,0.000785127,0.000785127
65,4231.59,0.30972,0.26675,0.39833,0.90781,0.98971,1,0.995,0.95781,0.98971,1,0.995,0.98279,0.29108,0.20159,0.35848,0.90879,0.000772542,0.000772542,0.000772542
66,4295.74,0.30319,0.27128,0.38124,0.91372,0.99164,1,0.995,0.97407,0.99164,1,0.995,0.98331,0.26713,0.20966,0.33391,0.89794,0.000759895,0.000759895,0.000759895
67,4359.91,0.31307,0.28251,0.37289,0.89858,0.99506,1,0.995,0.96153,0.99506,1,0.995,0.99006,0.29512,0.20136,0.33293,0.90662,0.000747192,0.000747192,0.000747192
68,4424.41,0.31233,0.24252,0.37658,0.90535,0.98873,0.99581,0.995,0.96136,0.98873,0.99581,0.995,0.98935,0.28887,0.18765,0.33049,0.91096,0.000734438,0.000734438,0.000734438
69,4488.2,0.29914,0.26782,0.36414,0.89739,0.99388,0.98619,0.995,0.96393,0.99388,0.98619,0.995,0.9903,0.30471,0.18592,0.34199,0.91887,0.000721639,0.000721639,0.000721639
70,4552.63,0.30778,0.24805,0.3809,0.89433,0.98814,0.97917,0.99346,0.97251,0.98814,0.97917,0.99346,0.99346,0.25992,0.18662,0.30965,0.88648,0.0007088,0.0007088,0.0007088
71,4617.08,0.30694,0.25573,0.37353,0.90014,0.98196,0.99666,0.995,0.97349,0.98196,0.99666,0.995,0.995,0.25972,0.19039,0.32601,0.88927,0.000695927,0.000695927,0.000695927
72,4680.99,0.3167,0.35445,0.37871,0.90716,0.99181,0.99948,0.995,0.96447,0.99181,0.99948,0.995,0.99204,0.27322,0.19028,0.32075,0.89052,0.000683026,0.000683026,0.000683026
73,4746.12,0.29269,0.25336,0.33796,0.89448,0.99536,1,0.995,0.9833,0.99536,1,0.995,0.99317,0.2427,0.18996,0.29902,0.87977,0.000670102,0.000670102,0.000670102
74,4810.33,0.30774,0.27061,0.37236,0.89071,0.99498,1,0.995,0.96643,0.99498,1,0.995,0.98789,0.26867,0.1864,0.30722,0.89006,0.000657161,0.000657161,0.000657161
75,4874.16,0.29809,0.24508,0.35472,0.89133,0.99302,1,0.995,0.97545,0.99302,1,0.995,0.99351,0.24528,0.19047,0.314,0.88161,0.000644208,0.000644208,0.000644208
