epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4938.16,0.31177,0.26084,0.37208,0.903,0.99404,1,0.995,0.96573,0.99404,1,0.995,0.99254,0.27134,0.18982,0.3056,0.89028,0.00063125,0.00063125,0.00063125
77,5002.08,0.29325,0.23461,0.34165,0.89548,0.99455,1,0.995,0.98458,0.99455,1,0.995,0.98956,0.23179,0.19272,0.29158,0.87147,0.000618292,0.000618292,0.000618292
78,5066.11,0.30072,0.26848,0.36147,0.90302,0.99211,0.99859,0.995,0.97767,0.99211,0.99859,0.995,0.98812,0.25996,0.19431,0.31458,0.88136,0.000605339,0.000605339,0.000605339
79,5129.8,0.3114,0.30867,0.35281,0.88733,0.99526,1,0.995,0.98217,0.99526,1,0.995,0.98811,0.2528,0.1878,0.29071,0.8841,0.000592398,0.000592398,0.000592398
80,5193.49,0.29466,0.29289,0.34875,0.89794,0.99383,1,0.995,0.98099,0.99383,1,0.995,0.99293,0.2511,0.18789,0.28029,0.88248,0.000579474,0.000579474,0.000579474
81,5257.06,0.29539,0.27097,0.33352,0.89635,0.99121,1,0.995,0.97888,0.99121,1,0.995,0.995,0.25044,0.18635,0.28374,0.88302,0.000566573,0.000566573,0.000566573
82,5321.09,0.279,0.25937,0.32614,0.884,0.98793,1,0.995,0.96635,0.98793,1,0.995,0.99209,0.25561,0.18856,0.3029,0.88422,0.0005537,0.0005537,0.0005537
83,5386.21,0.26198,0.22149,0.3141,0.88604,0.98971,1,0.995,0.98383,0.98971,1,0.995,0.98801,0.2625,0.19595,0.29839,0.88192,0.000540861,0.000540861,0.000540861
84,5450.57,0.29346,0.26485,0.34255,0.89861,0.99341,1,0.995,0.97612,0.99341,1,0.995,0.98263,0.24237,0.20182,0.26914,0.88155,0.000528062,0.000528062,0.000528062
85,5515.48,0.28687,0.27675,0.33192,0.88211,0.98734,0.99626,0.995,0.97041,0.98734,0.99626,0.995,0.98255,0.23872,0.20153,0.27463,0.87929,0.000515308,0.000515308,0.000515308
86,5580.18,0.28552,0.24957,0.32815,0.89887,0.98994,0.98574,0.995,0.97955,0.98994,0.98574,0.995,0.99104,0.22536,0.20374,0.28478,0.87169,0.000502605,0.000502605,0.000502605
87,5645.58,0.26008,0.23683,0.3145,0.88431,0.97416,0.99285,0.995,0.98534,0.97416,0.99285,0.995,0.99047,0.24283,0.19709,0.31125,0.87792,0.000489958,0.000489958,0.000489958
88,5709.82,0.28863,0.27453,0.35092,0.89524,0.9521,0.97738,0.995,0.97481,0.9521,0.97738,0.995,0.98557,0.2555,0.19497,0.31199,0.89225,0.000477373,0.000477373,0.000477373
89,5774.59,0.2835,0.23677,0.31239,0.89457,0.98797,1,0.995,0.97236,0.98797,1,0.995,0.98741,0.2538,0.19663,0.28198,0.8922,0.000464856,0.000464856,0.000464856
90,5838.56,0.29644,0.26764,0.33924,0.89692,0.99023,0.98799,0.995,0.98042,0.99023,0.98799,0.995,0.98998,0.21688,0.19999,0.28138,0.86239,0.000452412,0.000452412,0.000452412
91,5904.68,0.27166,0.26532,0.31772,0.89098,0.99355,1,0.995,0.98045,0.99355,1,0.995,0.99178,0.22754,0.19103,0.27515,0.8707,0.000440046,0.000440046,0.000440046
92,5968.32,0.25877,0.25084,0.29124,0.88225,0.99533,1,0.995,0.9797,0.99533,1,0.995,0.99179,0.23536,0.18968,0.27476,0.88172,0.000427764,0.000427764,0.000427764
93,6032.68,0.26326,0.25217,0.31227,0.89248,0.995,1,0.995,0.97508,0.995,1,0.995,0.98961,0.24541,0.18668,0.2787,0.88733,0.000415571,0.000415571,0.000415571
94,6098.44,0.27137,0.24326,0.31414,0.89674,0.99135,1,0.995,0.9737,0.99135,1,0.995,0.98339,0.25091,0.18667,0.2891,0.89744,0.000403473,0.000403473,0.000403473
95,6163.37,0.28197,0.26721,0.32079,0.88721,0.98988,1,0.995,0.98072,0.98988,1,0.995,0.98817,0.22234,0.18588,0.26317,0.87174,0.000391475,0.000391475,0.000391475
1,41.0859,0.51882,2.30955,3.10631,1.05327,0.00332,1,0.36604,0.32132,0.00332,1,0.36527,0.34158,0.33092,0.67105,3.64966,0.9832,0.000125,0.000125,0.000125
2,104.726,0.48587,0.6616,2.45001,1.00922,0.00339,1,0.4777,0.43217,0.00339,1,0.4777,0.45563,0.36222,0.4174,3.32435,0.99167,0.000262472,0.000262472,0.000262472
3,168.638,0.49061,0.53369,2.00963,0.99818,0.70945,0.55519,0.70463,0.63657,0.70945,0.55519,0.70463,0.65948,0.47565,0.74963,2.87419,1.14455,0.000399826,0.000399826,0.000399826
4,232.324,0.5257,0.4828,1.6554,1.00915,0.69659,0.75846,0.79481,0.70673,0.69659,0.75846,0.79481,0.73991,0.49248,0.51554,2.46576,1.11009,0.000536975,0.000536975,0.000536975
5,295.908,0.50469,0.46836,1.43832,1.00412,0.63991,0.75958,0.83193,0.73976,0.63991,0.75958,0.83193,0.78786,0.48953,0.49991,2.32742,1.10466,0.000673828,0.000673828,0.000673828
6,361.032,0.5298,0.45053,1.39443,0.9843,0.84675,0.93529,0.9648,0.84626,0.84675,0.93529,0.9648,0.90796,0.49869,0.30904,1.76355,1.12947,0.000810297,0.000810297,0.000810297
7,426.215,0.47592,0.44021,1.27459,0.97586,0.82216,0.87496,0.91057,0.7608,0.82216,0.87496,0.91057,0.80615,0.55833,0.35423,2.29404,1.20239,0.000946292,0.000946292,0.000946292
8,492.169,0.47584,0.48363,1.22331,0.99111,0.81044,0.9821,0.97794,0.80486,0.81044,0.9821,0.97794,0.8623,0.59331,0.31583,1.72847,1.16486,0.00108173,0.00108173,0.00108173
9,557.189,0.50713,0.41158,1.15674,0.9743,0.79946,0.89705,0.92783,0.74429,0.79946,0.89705,0.92783,0.79176,0.65714,0.31869,1.7796,1.28658,0.00121651,0.00121651,0.00121651
10,621.871,0.53413,0.44022,1.21416,1.01396,0.90114,0.90066,0.95176,0.84459,0.90114,0.90066,0.95176,0.90006,0.49507,0.29303,1.52531,1.11807,0.00123904,0.00123904,0.00123904
11,686.267,0.50764,0.41383,1.05492,0.99161,0.89948,0.93526,0.99368,0.9065,0.89948,0.93526,0.99368,0.96954,0.43225,0.27416,1.29062,1.05511,0.00123648,0.00123648,0.00123648
12,751.921,0.45612,0.34441,0.96555,0.96999,0.98599,0.92396,0.99214,0.88604,0.98599,0.92396,0.99214,0.91588,0.50218,0.36213,1.31201,1.11623,0.00123365,0.00123365,0.00123365
13,816.804,0.49033,0.3778,0.98418,0.96603,0.93003,0.96506,0.9801,0.86856,0.93003,0.96506,0.9801,0.91655,0.495,0.39668,1.29292,1.11654,0.00123056,0.00123056,0.00123056
14,881.844,0.44276,0.3658,0.90783,0.96806,0.89958,0.99569,0.99214,0.85823,0.89958,0.99569,0.99214,0.90178,0.50974,0.31343,1.25478,1.13854,0.00122721,0.00122721,0.00122721
15,946.588,0.48614,0.39633,0.88509,0.97692,0.98358,0.97787,0.99346,0.90213,0.98358,0.97787,0.99346,0.9485,0.43755,0.24403,1.07192,1.06504,0.00122359,0.00122359,0.00122359
16,1014.99,0.46779,0.38974,0.85893,0.98057,0.9571,0.97076,0.99273,0.85473,0.9571,0.97076,0.99273,0.89844,0.5633,0.2696,1.17482,1.19378,0.00121972,0.00121972,0.00121972
17,1080.22,0.43226,0.3589,0.8101,0.96346,0.9634,1,0.995,0.88946,0.9634,1,0.995,0.92947,0.48214,0.36138,1.06821,1.16533,0.00121558,0.00121558,0.00121558
18,1145.21,0.43189,0.34,0.81643,0.95797,0.98313,0.9893,0.995,0.9318,0.98313,0.9893,0.995,0.98512,0.41705,0.25402,1.00921,0.99553,0.00121119,0.00121119,0.00121119
19,1211.34,0.43453,0.34708,0.80158,0.95371,0.99015,0.9795,0.995,0.91528,0.99015,0.9795,0.995,0.94081,0.4615,0.21075,1.13202,1.05446,0.00120655,0.00120655,0.00120655
20,1277.09,0.43901,0.35799,0.79232,0.9638,0.97346,0.98066,0.995,0.88886,0.97346,0.98066,0.995,0.93656,0.46948,0.22836,1.03859,1.09403,0.00120165,0.00120165,0.00120165
21,1341.9,0.39504,0.30017,0.74294,0.92528,0.96159,1,0.995,0.92353,0.96159,1,0.995,0.95115,0.37459,0.24223,0.97408,0.99114,0.00119651,0.00119651,0.00119651
22,1407.94,0.40526,0.28699,0.73423,0.94754,0.86855,0.85144,0.93075,0.88773,0.86855,0.85144,0.93075,0.91352,0.38253,0.24549,1.25897,0.96702,0.00119111,0.00119111,0.00119111
23,1472.47,0.4249,0.31196,0.76751,0.94697,0.95433,0.96473,0.995,0.94364,0.95433,0.96473,0.995,0.97257,0.36885,0.21788,0.80487,0.98531,0.00118547,0.00118547,0.00118547
24,1536.54,0.3996,0.3374,0.7295,0.93908,0.98876,1,0.995,0.926,0.98876,1,0.995,0.9748,0.38841,0.2212,0.73059,0.99488,0.00117959,0.00117959,0.00117959
25,1600.68,0.40813,0.28986,0.66908,0.94449,0.98373,0.95785,0.995,0.9166,0.98373,0.95785,0.995,0.97346,0.39596,0.2119,0.74918,0.99196,0.00117346,0.00117346,0.00117346
26,1665.3,0.40159,0.34711,0.71163,0.94787,0.98462,0.9948,0.995,0.8963,0.98462,0.9948,0.995,0.94529,0.39728,0.2069,0.69854,1.02397,0.0011671,0.0011671,0.0011671
27,1730.43,0.37702,0.30932,0.65181,0.92915,0.94619,0.98143,0.99346,0.91428,0.94619,0.98143,0.99346,0.95908,0.38367,0.21544,0.742,1.0183,0.00116051,0.00116051,0.00116051
28,1795.38,0.37086,0.31831,0.62992,0.92919,0.97844,0.94238,0.99346,0.93645,0.97844,0.94238,0.99346,0.97539,0.34505,0.22414,0.69327,0.96443,0.00115368,0.00115368,0.00115368
29,1860.95,0.39727,0.35525,0.61777,0.94509,0.99067,0.9824,0.995,0.9447,0.99067,0.9824,0.995,0.98339,0.34801,0.2231,0.62861,0.97061,0.00114662,0.00114662,0.00114662
30,1925.75,0.38914,0.3398,0.63892,0.93958,0.98289,0.96019,0.995,0.94726,0.98289,0.96019,0.995,0.96066,0.33985,0.22721,0.66785,0.96096,0.00113934,0.00113934,0.00113934
31,1989.99,0.35888,0.33535,0.56003,0.92937,0.97859,0.96459,0.995,0.94581,0.97859,0.96459,0.995,0.9638,0.34914,0.2262,0.63191,0.96082,0.00113183,0.00113183,0.00113183
32,2055.29,0.35147,0.31554,0.56659,0.92896,0.98765,0.99899,0.995,0.93937,0.98765,0.99899,0.995,0.97087,0.33915,0.22606,0.58754,0.9594,0.0011241,0.0011241,0.0011241
33,2121.81,0.37869,0.31524,0.58689,0.9359,0.98788,0.99792,0.995,0.96088,0.98788,0.99792,0.995,0.98914,0.3106,0.23813,0.56091,0.92459,0.00111616,0.00111616,0.00111616
34,2186.79,0.3637,0.32303,0.55697,0.91993,0.98967,0.97917,0.99346,0.94489,0.98967,0.97917,0.99346,0.98917,0.3499,0.23341,0.59677,0.96465,0.00110801,0.00110801,0.00110801
35,2252.92,0.36677,0.29487,0.57055,0.91312,0.95533,1,0.995,0.89294,0.95533,1,0.995,0.93133,0.41172,0.21916,0.71565,1.01443,0.00109964,0.00109964,0.00109964
36,2319.71,0.37383,0.35294,0.55713,0.93195,0.98687,0.97305,0.99273,0.96545,0.98687,0.97305,0.99273,0.99139,0.30771,0.20554,0.59779,0.93287,0.00109107,0.00109107,0.00109107
37,2385.49,0.37156,0.31972,0.55808,0.92725,0.9678,0.99724,0.98818,0.95051,0.9678,0.99724,0.98818,0.97069,0.3243,0.20309,0.61522,0.94323,0.0010823,0.0010823,0.0010823
38,2449.96,0.35545,0.31251,0.55454,0.92522,0.98111,0.99613,0.995,0.92669,0.98111,0.99613,0.995,0.96911,0.32668,0.21608,0.55681,0.94798,0.00107333,0.00107333,0.00107333
39,2514.77,0.35518,0.29287,0.53114,0.93399,0.9928,1,0.995,0.9392,0.9928,1,0.995,0.97711,0.34171,0.22031,0.55326,0.94618,0.00106417,0.00106417,0.00106417
